chengshi,yijiquyu,fangzu,huxing,chaoxiang,zhuangxiu,louceng,min_time_gongjiao,min_time_zhongxue,count_zhongxue,min_time_xiaoxue,count_xiaoxue,min_time_gaoxiao,count_gaoxiao,min_time_yiyuan,count_yiyuan,min_time_jingdian,count_jingdian,min_time_kaifang,count_kaifang,min_time_xiuxian,count_xiuxian
宜昌,伍家岗,1500,2室2厅1卫,南北,精装修,中层/共10层,15,353,3,839,2,457,4,1054,0,285,5,188,11,939,0
宜昌,伍家岗,1700,2室1厅1卫,南北,精装修,中层/共7层,225,257,3,405,3,623,4,610,1,599,5,463,4,1248,0
宜昌,伍家岗,1800,3室2厅1卫,南北,简单装修,中层/共7层,90,641,5,621,3,432,4,227,5,484,7,147,8,593,1
宜昌,伍家岗,1500,3室2厅1卫,南,简单装修,低层/共7层,309,573,2,623,1,112,1,0,4,545,5,410,6,524,1
宜昌,伍家岗,2300,2室2厅1卫,南北,精装修,低层/共32层,137,701,5,175,3,860,2,132,3,191,9,335,5,687,1
宜昌,伍家岗,1500,2室2厅1卫,南北,精装修,中层/共8层,15,353,3,839,2,457,4,1054,0,285,5,188,11,939,0
宜昌,伍家岗,1700,2室0厅0卫,南,精装修,中层/共16层,26,43,4,529,3,528,5,819,1,283,4,227,5,932,0
宜昌,伍家岗,800,1室0厅0卫,南,精装修,中层/共32层,137,701,5,175,3,860,2,132,3,191,9,335,5,687,1
宜昌,伍家岗,500,1室0厅1卫,东,简单装修,低层/共7层,10000,10000,0,10000,0,10000,0,10000,0,10000,0,10000,0,10000,0
宜昌,伍家岗,1400,2室1厅1卫,南北,精装修,中层/共11层,26,43,4,529,3,528,5,819,1,283,4,227,5,932,0
