chengshi,yijiquyu,fangzu,mianji,huxing,chaoxiang,zhuangxiu,louceng,xiaoqumingcheng,bd_lat,bd_lon,wgs_lat,wgs_lon,gcj_lon,gcj_lat,amaplonlat
宜昌,伍家岗,2100,108㎡,2室2厅2卫,南北,精装修,中层/共25层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2300,90㎡,3室2厅2卫,南,简单装修,高层/共14层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2199,50㎡,2室1厅1卫,南,精装修,中层/共14层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2200,50㎡,2室1厅1卫,南,精装修,中层/共14层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,1500,47㎡,1室1厅1卫,南北,精装修,中层/共32层,A8城市公寓,30.648200904326774,111.37015247590307,30.64419719950082,111.35786772485594,111.36372724560464,30.641868644680518,"111.36372724560464,30.641868644680518"
宜昌,伍家岗,900,40㎡,1室1厅1卫,南,精装修,中层/共7层,倚江苑,30.654843436489475,111.35076120401193,30.65097111284843,111.33850166797656,111.34431302235491,30.648613623644373,"111.34431302235491,30.648613623644373"
宜昌,伍家岗,1999,106㎡,2室2厅1卫,南北,精装修,中层/共22层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2500,95㎡,3室2厅1卫,南,简单装修,低层/共32层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2700,124㎡,3室2厅2卫,南,精装修,中层/共28层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2400,85㎡,2室2厅1卫,南北,精装修,高层/共26层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2500,95㎡,3室2厅1卫,南,简单装修,低层/共32层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,1800,106㎡,2室2厅2卫,南北,精装修,中层/共32层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2100,60㎡,2室1厅1卫,南北,精装修,高层/共33层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,1000,89㎡,2室2厅1卫,西北,简单装修,高层/共8层,桔城小区,30.657230885563436,111.36750498990406,30.65322341033778,111.35523399862916,111.36108826989089,30.650894912668978,"111.36108826989089,30.650894912668978"
宜昌,伍家岗,2100,86㎡,2室2厅1卫,南北,精装修,中层/共33层,虹桥国际公寓,30.665094911082704,111.33986475817589,30.661409421069358,111.32759823692797,111.33337996541744,30.659036119888402,"111.33337996541744,30.659036119888402"
宜昌,伍家岗,2280,53㎡,2室1厅1卫,南北,精装修,中层/共18层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2300,108㎡,2室2厅2卫,南北,精装修,高层/共22层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2299,90㎡,2室2厅1卫,南北,精装修,中层/共28层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2200,88㎡,2室2厅1卫,南北,精装修,中层/共14层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2099,70㎡,2室1厅1卫,南北,精装修,中层/共14层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2500,65㎡,2室1厅1卫,南北,精装修,高层/共17层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,3500,110㎡,3室2厅2卫,南,豪华装修,高层/共31层,江山多娇(四期),30.64878670653756,111.35335389337482,30.644880025627785,111.34109193435525,111.346909769771,30.64252456284774,"111.346909769771,30.64252456284774"
宜昌,伍家岗,3500,110㎡,3室2厅2卫,南,豪华装修,高层/共31层,江山多娇(四期),30.64878670653756,111.35335389337482,30.644880025627785,111.34109193435525,111.346909769771,30.64252456284774,"111.346909769771,30.64252456284774"
宜昌,伍家岗,2299,70㎡,2室2厅1卫,南北,精装修,低层/共25层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2099,80㎡,2室1厅1卫,南北,精装修,高层/共16层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2100,70㎡,2室1厅1卫,南北,精装修,中层/共32层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2188,90㎡,2室2厅1卫,南北,精装修,中层/共14层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,3000,125㎡,3室2厅2卫,南,精装修,高层/共31层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2000,50㎡,3室2厅1卫,南北,精装修,中层/共32层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2200,102㎡,2室1厅1卫,南北,精装修,中层/共15层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2299,85㎡,2室2厅1卫,南北,精装修,中层/共14层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,500,29㎡,1室0厅1卫,东,精装修,低层/共10层,万寿花园,30.681955420774173,111.32078618643278,30.678605996658046,111.3085043499122,111.31423302510849,30.67620415295888,"111.31423302510849,30.67620415295888"
宜昌,伍家岗,2500,50㎡,2室1厅1卫,南北,精装修,中层/共28层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,500,32㎡,1室0厅1卫,南,精装修,低层/共22层,万寿花园,30.681955420774173,111.32078618643278,30.678605996658046,111.3085043499122,111.31423302510849,30.67620415295888,"111.31423302510849,30.67620415295888"
宜昌,伍家岗,2300,100㎡,2室2厅1卫,南北,精装修,低层/共30层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2299,70㎡,2室1厅1卫,南北,精装修,低层/共33层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
