zongjia,quwei,mianji,shi,ting,wei,chaoxiang,zhuangxiu,louceng,min_time_gongjiao,min_time_zhongxue,count_zhongxue,min_time_xiaoxue,count_xiaoxue,count_gaoxiao,count_yiyuan,min_time_jingdian,count_jingdian,min_time_kaifang,count_kaifang,count_xiuxian
55,1,122,3,2,2,2,3,3,102,1233,0,772,1,0,1,253,6,224,5,0
60,1,112,3,2,2,2,3,1,212,312,4,512,1,0,1,320,9,87,15,3
68,1,118,3,2,2,2,3,1,331,1418,0,1105,0,0,1,482,2,364,3,0
85,1,117,3,2,2,2,4,3,113,291,1,663,1,0,0,886,1,275,3,0
60,1,128,3,2,2,2,3,2,331,1418,0,1105,0,0,1,482,2,364,3,0
85,1,117,3,2,2,2,4,3,113,291,1,663,1,0,0,886,1,275,3,0
39,1,105,3,2,1,2,2,1,251,475,3,587,1,0,0,794,1,444,6,3
43,1,93,2,2,1,2,3,3,597,1066,0,795,1,0,0,1317,0,585,2,0
42,1,127,3,2,2,2,3,3,422,778,2,834,1,0,0,1097,0,410,6,0
50,1,121,3,2,2,2,3,3,300,814,1,498,1,0,0,926,0,592,6,3
40,1,108,3,2,1,2,3,1,597,1066,0,795,1,0,0,1317,0,585,2,0
59,1,103,3,2,2,2,3,2,681,915,0,1381,0,0,0,905,0,1317,0,0
54,1,166,4,2,2,2,3,2,39,318,5,614,1,0,1,35,6,66,10,3
56,1,120,3,2,2,2,2,2,230,873,1,1311,0,0,1,405,2,197,10,0
53,1,117,3,2,1,2,3,3,230,873,1,1311,0,0,1,405,2,197,10,0
35,1,81,3,2,1,2,3,2,202,651,1,953,0,0,1,335,5,314,14,2
65,1,132,3,2,2,2,3,1,124,282,7,346,2,0,1,316,7,34,11,3
20,1,50,1,1,1,2,3,3,76,456,3,580,1,0,1,296,6,296,4,0
28,1,80,2,2,1,2,3,3,597,1066,0,795,1,0,0,1317,0,585,2,0
43,1,88,2,2,1,1,3,2,556,807,1,836,1,0,0,1115,0,722,4,0
68,1,105,3,2,2,2,3,2,681,915,0,1381,0,0,0,905,0,1317,0,0
43,1,95,4,2,1,2,3,3,331,1418,0,1105,0,0,1,482,2,364,3,0
43,1,85,2,2,1,2,3,2,556,807,1,836,1,0,0,1115,0,722,4,0
70,1,135,4,2,2,2,3,2,136,1242,0,366,1,0,1,483,3,857,1,0
65,1,138,3,2,2,1,2,1,69,591,3,563,1,0,1,394,6,291,14,1
35,1,117,3,2,1,2,2,3,124,366,4,349,1,0,1,627,3,348,7,3
79,1,133,4,2,2,2,3,2,113,291,1,663,1,0,0,886,1,275,3,0
50,1,106,3,2,2,2,1,2,306,835,1,628,1,0,0,842,1,732,4,0
50,1,98,2,2,1,2,3,3,230,873,1,1311,0,0,1,405,2,197,10,0
40,1,98,2,2,1,2,3,2,331,1418,0,1105,0,0,1,482,2,364,3,0
36,1,90,2,2,1,2,1,2,264,584,1,861,1,0,1,1004,0,1318,0,0
76,1,133,4,2,2,2,3,2,556,807,1,836,1,0,0,1115,0,722,4,0
62,1,82,2,2,1,2,3,2,203,724,5,453,1,0,0,754,3,747,8,3
100,1,175,5,2,2,2,4,3,283,1137,0,588,1,0,1,400,5,493,4,0
45,1,120,3,2,2,2,3,2,597,1066,0,795,1,0,0,1317,0,585,2,0
29,1,100,3,2,1,2,3,3,422,778,2,834,1,0,0,1097,0,410,6,0
68,1,188,4,3,3,2,3,1,14,496,2,620,1,0,1,388,6,329,4,0
68,1,126,3,2,2,2,3,2,136,1242,0,366,1,0,1,483,3,857,1,0
41,1,90,2,2,1,2,3,2,597,1066,0,795,1,0,0,1317,0,585,2,0
36,1,90,2,2,1,2,1,2,264,584,1,861,1,0,1,1004,0,1318,0,0
60,1,144,4,3,2,2,3,1,158,197,2,684,1,0,1,188,8,0,16,3
39,1,133,3,2,2,2,2,2,14,496,2,620,1,0,1,388,6,329,4,0
105,1,285,7,3,3,2,3,1,251,475,3,587,1,0,0,794,1,444,6,3
120,1,288,8,2,2,2,3,1,279,1135,0,1236,0,0,1,391,1,391,1,0
28,1,75,2,2,2,2,2,2,170,582,1,1104,0,0,1,433,5,190,14,3
43,1,84,2,2,1,2,3,2,556,807,1,836,1,0,0,1115,0,722,4,0
31,1,100,2,2,1,2,2,3,246,1046,0,1268,0,0,0,686,1,414,10,0
36,1,83,2,2,1,2,3,2,121,660,1,1255,0,0,1,340,5,152,14,2
68,1,116,4,2,2,2,3,1,113,291,1,663,1,0,0,886,1,275,3,0
54,1,116,3,2,2,2,1,3,113,291,1,663,1,0,0,886,1,275,3,0
67,1,119,3,2,2,2,3,3,136,1242,0,366,1,0,1,483,3,857,1,0
55,1,166,4,2,2,2,3,3,39,318,5,614,1,0,1,35,6,66,10,3
29,1,100,2,2,1,2,2,2,251,475,3,587,1,0,0,794,1,444,6,3
52,1,117,3,2,2,2,1,2,556,807,1,836,1,0,0,1115,0,722,4,0
23,1,73,2,1,1,2,2,1,202,584,2,708,1,0,1,474,5,474,3,0
62,1,165,4,3,2,2,3,2,39,318,5,614,1,0,1,35,6,66,10,3
48,1,91,2,2,1,2,3,2,102,1233,0,772,1,0,1,253,6,224,5,0
36,1,111,3,2,1,2,2,1,6,341,3,516,2,0,1,641,3,187,8,3
58,1,183,6,3,3,2,3,1,158,197,2,684,1,0,1,188,8,0,16,3
43,1,93,2,2,1,2,3,2,597,1066,0,795,1,0,0,1317,0,585,2,0
60,1,117,3,2,2,2,1,3,556,807,1,836,1,0,0,1115,0,722,4,0
39,1,133,3,2,2,2,2,2,89,217,4,401,2,0,2,377,6,384,8,3
58,1,127,3,2,2,2,3,2,102,1233,0,772,1,0,1,253,6,224,5,0
58,1,130,3,2,2,2,3,3,138,1239,0,913,0,0,1,787,1,434,3,0
50,1,92,2,2,1,2,3,2,102,1233,0,772,1,0,1,253,6,224,5,0
45,1,122,3,2,2,2,3,3,14,496,2,620,1,0,1,388,6,329,4,0
60,1,120,3,2,2,2,3,2,331,1418,0,1105,0,0,1,482,2,364,3,0
48,1,125,3,2,2,2,3,1,246,1046,0,1268,0,0,0,686,1,414,10,0
23,1,92,3,1,1,2,3,3,37,827,1,951,0,0,1,718,1,587,3,0
32,1,110,3,2,1,2,3,3,202,651,1,953,0,0,1,335,5,314,14,2
56,1,138,3,2,2,2,3,2,331,1418,0,1105,0,0,1,482,2,364,3,0
16,1,36,1,0,1,2,3,3,230,873,1,1311,0,0,1,405,2,197,10,0
52,1,109,3,2,2,2,1,1,264,584,1,861,1,0,1,1004,0,1318,0,0
23,1,69,2,2,1,2,3,3,251,475,3,587,1,0,0,794,1,444,6,3
52,1,137,3,2,1,1,3,2,246,1046,0,1268,0,0,0,686,1,414,10,0
49,1,93,2,2,1,2,3,2,331,1418,0,1105,0,0,1,482,2,364,3,0
54,1,79,2,2,1,2,3,3,203,724,5,453,1,0,0,754,3,747,8,3
65,1,148,4,2,2,2,3,2,102,1233,0,772,1,0,1,253,6,224,5,0
58,1,125,3,2,2,2,3,2,331,1418,0,1105,0,0,1,482,2,364,3,0
54,1,116,3,2,2,2,1,3,113,291,1,663,1,0,0,886,1,275,3,0
50,1,108,3,2,1,2,1,1,136,1242,0,366,1,0,1,483,3,857,1,0
50,1,106,3,2,1,2,1,2,136,1242,0,366,1,0,1,483,3,857,1,0
65,1,137,3,2,2,2,3,2,331,1418,0,1105,0,0,1,482,2,364,3,0
42,1,90,2,2,1,2,1,2,113,291,1,663,1,0,0,886,1,275,3,0
23,1,76,2,1,1,2,3,1,111,758,1,1037,0,0,1,278,5,157,14,2
85,1,118,3,2,2,2,3,1,203,724,5,453,1,0,0,754,3,747,8,3
48,1,103,2,2,1,2,3,2,102,1233,0,772,1,0,1,253,6,224,5,0
32,1,97,3,2,1,2,2,3,134,499,3,810,1,0,1,155,5,161,15,3
47,1,90,2,2,1,2,3,2,556,807,1,836,1,0,0,1115,0,722,4,0
55,1,117,3,2,2,2,1,2,556,807,1,836,1,0,0,1115,0,722,4,0
46,1,104,3,2,1,2,3,3,102,1233,0,772,1,0,1,253,6,224,5,0
76,1,131,3,2,2,2,3,1,113,291,1,663,1,0,0,886,1,275,3,0
36,1,111,3,2,1,2,3,1,89,217,4,401,2,0,2,377,6,384,8,3
75,1,100,2,2,1,2,2,1,125,249,7,219,2,0,1,299,7,95,8,3
98,1,131,3,2,2,2,3,3,113,291,1,663,1,0,0,886,1,275,3,0
66,1,119,3,2,2,2,4,3,136,1242,0,366,1,0,1,483,3,857,1,0
46,1,97,3,2,1,2,3,2,202,584,2,708,1,0,1,474,5,474,3,0
41,1,94,2,2,2,2,2,2,597,1066,0,795,1,0,0,1317,0,585,2,0
54,1,109,3,2,2,2,1,2,264,584,1,861,1,0,1,1004,0,1318,0,0
62,1,128,3,2,2,2,1,1,6,264,4,213,2,0,2,302,7,219,16,3
41,1,94,2,2,2,2,2,2,597,1066,0,795,1,0,0,1317,0,585,2,0
54,1,118,3,2,2,2,3,1,597,1066,0,795,1,0,0,1317,0,585,2,0
38,1,98,3,2,2,2,3,2,260,603,2,902,0,0,1,924,0,185,2,0
66,1,119,3,2,2,2,4,3,136,1242,0,366,1,0,1,483,3,857,1,0
43,1,84,2,2,1,2,3,2,556,807,1,836,1,0,0,1115,0,722,4,0
38,1,98,3,2,2,2,3,2,260,603,2,902,0,0,1,924,0,185,2,0
42,1,112,3,2,2,2,3,2,54,950,0,923,0,0,2,631,6,345,12,0
92,1,150,4,2,2,2,4,3,136,1242,0,366,1,0,1,483,3,857,1,0
35,1,83,2,2,1,2,2,2,121,660,1,1255,0,0,1,340,5,152,14,2
75,1,127,3,2,2,2,3,3,102,1233,0,772,1,0,1,253,6,224,5,0
43,1,98,3,2,2,2,3,2,120,512,3,823,1,0,1,141,5,147,15,3
15,1,42,1,0,1,2,3,3,331,1418,0,1105,0,0,1,482,2,364,3,0
73,1,121,4,2,2,2,3,3,681,915,0,1381,0,0,0,905,0,1317,0,0
70,1,114,3,2,1,2,3,1,681,915,0,1381,0,0,0,905,0,1317,0,0
45,1,100,3,2,1,2,2,2,134,499,3,810,1,0,1,155,5,161,15,3
55,1,122,3,2,2,2,3,3,89,217,4,401,2,0,2,377,6,384,8,3
