zongjia,quwei,mianji,shi,ting,wei,chaoxiang,zhuangxiu,louceng,min_time_gongjiao,min_time_zhongxue,count_zhongxue,min_time_xiaoxue,count_xiaoxue,count_gaoxiao,count_yiyuan,min_time_jingdian,count_jingdian,min_time_kaifang,count_kaifang,count_xiuxian
2300,2,62,2,2,1,2,3,1,137,701,5,175,3,2,3,191,9,335,5,1
1500,2,81,2,2,1,2,3,2,15,353,3,839,2,4,0,285,5,188,11,0
1700,2,60,2,0,0,2,3,2,26,43,4,529,3,5,1,283,4,227,5,0
800,2,158,1,0,0,2,3,2,137,701,5,175,3,2,3,191,9,335,5,1
1400,2,50,2,1,1,2,3,2,26,43,4,529,3,5,1,283,4,227,5,0
1700,2,95,2,1,1,2,3,2,140,311,3,98,4,1,1,319,10,691,6,1
1500,2,86,2,2,1,2,3,2,251,650,4,390,4,4,3,340,10,200,5,0
1800,2,45,1,1,1,2,3,2,78,1027,0,1167,0,0,0,236,2,236,2,0
1400,2,108,2,2,1,2,2,2,403,290,3,411,2,3,4,862,1,666,4,0
1800,2,53,1,1,1,2,3,2,78,1027,0,1167,0,0,0,236,2,236,2,0
1699,2,38,1,1,1,2,4,1,78,1027,0,1167,0,0,0,236,2,236,2,0
1200,2,68,2,1,1,2,2,1,176,1150,0,653,1,0,1,441,4,284,3,0
2000,2,100,2,2,1,2,3,3,469,356,3,477,2,3,3,928,0,732,3,0
1600,2,36,1,0,1,2,3,2,78,1027,0,1167,0,0,0,236,2,236,2,0
1600,2,85,3,1,1,2,3,2,469,356,3,477,2,3,3,928,0,732,3,0
1400,2,40,1,1,1,2,3,1,26,43,4,529,3,5,1,283,4,227,5,0
5500,2,167,4,2,2,2,4,2,137,701,5,175,3,2,3,191,9,335,5,1
1700,2,35,1,1,1,2,3,2,78,1027,0,1167,0,0,0,236,2,236,2,0
2400,2,95,2,2,1,2,3,3,185,164,4,644,2,5,0,437,4,335,3,0
1000,2,40,1,1,1,2,2,1,469,356,3,477,2,3,3,928,0,732,3,0
1500,2,55,2,2,1,2,3,3,167,193,2,226,4,0,1,1001,0,693,4,1
1500,2,80,2,1,1,2,2,2,165,137,2,226,1,0,0,371,2,334,4,0
2800,2,62,2,2,1,2,3,1,137,701,5,175,3,2,3,191,9,335,5,1
1500,2,50,2,0,1,1,2,1,166,782,5,605,2,3,4,624,7,288,6,1
1700,2,72,2,1,1,2,2,3,96,260,4,0,4,1,1,253,12,550,8,1
1500,2,78,2,1,1,2,2,2,55,531,5,733,4,4,5,373,7,38,8,1
500,2,17,1,1,1,2,3,2,140,311,3,98,4,1,1,319,10,691,6,1
1500,2,42,1,1,1,2,3,1,78,1027,0,1167,0,0,0,236,2,236,2,0
1500,2,80,2,2,1,2,2,3,55,531,5,733,4,4,5,373,7,38,8,1
1700,2,88,2,1,1,2,2,2,140,311,3,98,4,1,1,319,10,691,6,1
500,2,25,1,0,1,2,2,1,114,633,3,882,1,3,0,197,8,525,9,1
1200,2,55,2,1,1,2,2,2,309,573,2,623,1,1,4,545,5,410,6,1
1600,2,92,2,2,1,2,3,2,469,356,3,477,2,3,3,928,0,732,3,0
1900,2,80,3,1,1,2,2,3,281,371,4,405,1,3,4,327,5,277,6,1
1900,2,108,2,2,1,2,3,2,185,164,4,644,2,5,0,437,4,335,3,0
1400,2,50,2,1,1,2,3,2,26,43,4,529,3,5,1,283,4,227,5,0
1500,2,35,1,1,1,2,3,2,78,1027,0,1167,0,0,0,236,2,236,2,0
1700,2,210,2,1,1,2,3,2,225,257,3,405,3,4,1,599,5,463,4,0
2500,2,85,2,2,1,2,3,2,137,701,5,175,3,2,3,191,9,335,5,1
2800,2,62,2,2,1,2,3,1,137,701,5,175,3,2,3,191,9,335,5,1
1500,2,36,1,1,1,2,3,2,78,1027,0,1167,0,0,0,236,2,236,2,0
1350,2,58,3,1,1,2,2,2,229,671,4,525,1,3,4,250,4,576,5,1
1500,2,37,1,1,1,2,3,2,78,1027,0,1167,0,0,0,236,2,236,2,0
1500,2,88,2,1,1,2,3,3,319,249,3,331,2,4,5,692,7,428,6,1
5000,2,168,4,2,2,2,3,3,137,701,5,175,3,2,3,191,9,335,5,1
1050,2,65,2,1,1,2,2,1,88,272,3,647,3,4,1,55,6,112,5,1
2400,2,87,2,2,1,2,3,2,369,1026,0,1612,0,0,0,445,3,469,4,1
1799,2,38,1,1,1,2,4,1,78,1027,0,1167,0,0,0,236,2,236,2,0
